INFO | 2018-03-31 12:57:20,239 | bootLogin | restartedMain org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker | Bean 'objectPostProcessor' of type [org.springframework.security.config.annotation.configuration.AutowireBeanFactoryObjectPostProcessor] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
INFO | 2018-03-31 12:57:20,240 | bootLogin | restartedMain org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker | Bean 'org.springframework.security.access.expression.method.DefaultMethodSecurityExpressionHandler@31c59a58' of type [org.springframework.security.access.expression.method.DefaultMethodSecurityExpressionHandler] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
INFO | 2018-03-31 12:57:20,246 | bootLogin | restartedMain org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker | Bean 'org.springframework.security.config.annotation.method.configuration.GlobalMethodSecurityConfiguration' of type [org.springframework.security.config.annotation.method.configuration.GlobalMethodSecurityConfiguration$$EnhancerBySpringCGLIB$$e73cad27] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
INFO | 2018-03-31 12:57:20,255 | bootLogin | restartedMain org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker | Bean 'methodSecurityMetadataSource' of type [org.springframework.security.access.method.DelegatingMethodSecurityMetadataSource] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
INFO | 2018-03-31 12:57:20,268 | bootLogin | restartedMain org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker | Bean 'redisConfig' of type [com.cxgmerp.config.RedisConfig$$EnhancerBySpringCGLIB$$93824ec4] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
INFO | 2018-03-31 12:57:20,274 | bootLogin | restartedMain org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker | Bean 'org.springframework.cache.annotation.ProxyCachingConfiguration' of type [org.springframework.cache.annotation.ProxyCachingConfiguration$$EnhancerBySpringCGLIB$$72cc7859] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
INFO | 2018-03-31 12:57:20,308 | bootLogin | restartedMain org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker | Bean 'org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration' of type [org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration$$EnhancerBySpringCGLIB$$45d44538] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
INFO | 2018-03-31 12:57:20,968 | bootLogin | restartedMain org.springframework.boot.context.embedded.tomcat.TomcatEmbeddedServletContainer | Tomcat initialized with port(s): 8076 (http)
INFO | 2018-03-31 12:57:20,982 | bootLogin | restartedMain org.apache.catalina.core.StandardService | Starting service [Tomcat]
INFO | 2018-03-31 12:57:20,983 | bootLogin | restartedMain org.apache.catalina.core.StandardEngine | Starting Servlet Engine: Apache Tomcat/8.5.23
