INFO | 2018-03-23 15:58:34,663 | [FILE_NAME_IS_UNDEFINED,,,] | main net.sourceforge.cobertura.coveragedata.CoverageDataFileHandler | Cobertura: Saved information on 1 classes.
INFO | 2018-03-23 15:58:34,665 | [FILE_NAME_IS_UNDEFINED,,,] | main net.sourceforge.cobertura.coveragedata.CoverageDataFileHandler | Cobertura: Saved information on 1 classes.
DEBUG | 2018-03-23 15:58:34,665 | [FILE_NAME_IS_UNDEFINED,,,] | main net.sourceforge.cobertura.instrument.InstrumentMain | Instrument time: 118ms
INFO | 2018-03-23 15:58:37,139 | [FILE_NAME_IS_UNDEFINED,,,] | main net.sourceforge.cobertura.coveragedata.CoverageDataFileHandler | Cobertura: Loaded information on 1 classes.
DEBUG | 2018-03-23 15:58:37,146 | [FILE_NAME_IS_UNDEFINED,,,] | main net.sourceforge.cobertura.instrument.CodeInstrumentationTask$LoggerWrapper | Instrumenting 1 file  to C:\Users\wangx\git\cxgm\cxgm-parent\cxgm-framework\cxgm-zuul\target\generated-classes\cobertura
DEBUG | 2018-03-23 15:58:37,147 | [FILE_NAME_IS_UNDEFINED,,,] | main net.sourceforge.cobertura.instrument.CodeInstrumentationTask$LoggerWrapper | Instrumenting: C:\Users\wangx\git\cxgm\cxgm-parent\cxgm-framework\cxgm-zuul\target\generated-classes\cobertura\com\cxgm\ZuulApplication.class to C:\Users\wangx\git\cxgm\cxgm-parent\cxgm-framework\cxgm-zuul\target\generated-classes\cobertura
DEBUG | 2018-03-23 15:58:37,147 | [FILE_NAME_IS_UNDEFINED,,,] | main net.sourceforge.cobertura.instrument.CoberturaInstrumenter | Instrumenting class C:\Users\wangx\git\cxgm\cxgm-parent\cxgm-framework\cxgm-zuul\target\generated-classes\cobertura\com\cxgm\ZuulApplication.class
DEBUG | 2018-03-23 15:58:37,147 | [FILE_NAME_IS_UNDEFINED,,,] | main net.sourceforge.cobertura.instrument.CoberturaInstrumenter | Working on file:C:\Users\wangx\git\cxgm\cxgm-parent\cxgm-framework\cxgm-zuul\target\generated-classes\cobertura\com\cxgm\ZuulApplication.class
DEBUG | 2018-03-23 15:58:37,167 | [FILE_NAME_IS_UNDEFINED,,,] | main net.sourceforge.cobertura.instrument.pass1.DetectDuplicatedCodeClassVisitor | SIGNATURE:19:1:MI:183:java/lang/Object:<init>:()V;
DEBUG | 2018-03-23 15:58:37,167 | [FILE_NAME_IS_UNDEFINED,,,] | main net.sourceforge.cobertura.instrument.pass1.DetectDuplicatedCodeClassVisitor | SIGNATURE:22:2:LDC:Lcom/cxgm/ZuulApplication;;MI:184:org/springframework/boot/SpringApplication:run:(Ljava/lang/Object;[Ljava/lang/String;)Lorg/springframework/context/ConfigurableApplicationContext;;87;
